UniqueID	Feature_Name	Feature_Type	KEGG_ID	Pathway_ID	Pathway_Name
Gene_1	AABR07000156.1	Gene	NA	NA	NA
Gene_2	Lrp11	Gene	rno:292462	NA	NA
Gene_3	Pcmt1	Gene	rno:25604	NA	NA
Gene_4	Nup43	Gene	rno:683983	path:rno03013	RNA transport
Gene_4	Nup43	Gene	rno:683983	path:rno05014	Amyotrophic lateral sclerosis
Gene_5	Lats1	Gene	rno:308265	path:rno04390	Hippo signaling pathway
Gene_5	Lats1	Gene	rno:308265	path:rno04392	Hippo signaling pathway
Gene_6	Katna1	Gene	rno:292464	NA	NA
Gene_7	Ginm1	Gene	rno:361448	NA	NA
Gene_8	Ppil4	Gene	rno:361449	NA	NA
Gene_9	Tab2	Gene	rno:308267	path:rno04010	MAPK signaling pathway
Gene_9	Tab2	Gene	rno:308267	path:rno04064	NF-kappa B signaling pathway
Gene_9	Tab2	Gene	rno:308267	path:rno04380	Osteoclast differentiation
Gene_9	Tab2	Gene	rno:308267	path:rno04620	Toll-like receptor signaling pathway
Gene_9	Tab2	Gene	rno:308267	path:rno04621	NOD-like receptor signaling pathway
Gene_9	Tab2	Gene	rno:308267	path:rno04657	IL-17 signaling pathway
Gene_9	Tab2	Gene	rno:308267	path:rno04668	TNF signaling pathway
Gene_9	Tab2	Gene	rno:308267	path:rno05132	Salmonella infection
Gene_9	Tab2	Gene	rno:308267	path:rno05135	Yersinia infection
Gene_9	Tab2	Gene	rno:308267	path:rno05140	Leishmaniasis
Gene_9	Tab2	Gene	rno:308267	path:rno05145	Toxoplasmosis
Gene_9	Tab2	Gene	rno:308267	path:rno05161	Hepatitis B
Gene_9	Tab2	Gene	rno:308267	path:rno05162	Measles
Gene_9	Tab2	Gene	rno:308267	path:rno05168	Herpes simplex virus 1 infection
Gene_9	Tab2	Gene	rno:308267	path:rno05169	Epstein-Barr virus infection
Gene_9	Tab2	Gene	rno:308267	path:rno05170	Human immunodeficiency virus 1 infection
Gene_9	Tab2	Gene	rno:308267	path:rno05171	Coronavirus disease
Gene_9	Tab2	Gene	rno:308267	path:rno05417	Lipid and atherosclerosis
Gene_10	Ust	Gene	rno:361450	path:rno00532	Glycosaminoglycan biosynthesis
Gene_11	Sash1	Gene	rno:365037	NA	NA
Gene_12	Samd5	Gene	rno:365038	NA	NA
Gene_13	Stxbp5	Gene	rno:81022	NA	NA
Gene_14	Adgb	Gene	rno:292477	NA	NA
Gene_15	Rab32	Gene	rno:365042	NA	NA
Gene_16	Grm1	Gene	rno:24414	path:rno04020	Calcium signaling pathway
