UniqueID	Flag_0.1	Flag_0.05	Flag_0.01
Met_6	1	1	1
Met_126	1	1	0
Met_107	1	1	0
Met_36	1	1	0
Met_111	1	1	0
Met_117	1	1	0
Met_42	1	1	0
Met_8	1	1	0
Met_75	1	1	0
Met_113	1	1	0
Met_48	1	1	0
Met_100	1	1	0
Met_73	1	0	0
Met_30	1	0	0
Met_79	1	0	0
Met_28	1	0	0
Met_112	1	0	0
Met_72	1	0	0
Met_11	1	0	0
Met_92	1	0	0
Met_35	1	0	0
Met_43	1	0	0
Met_19	1	0	0
Met_22	1	0	0
Met_68	1	0	0
Met_41	0	0	0
Met_81	0	0	0
Met_51	0	0	0
Met_76	0	0	0
Met_109	0	0	0
Met_1	0	0	0
Met_78	0	0	0
Met_9	0	0	0
Met_85	0	0	0
Met_12	0	0	0
Met_5	0	0	0
Met_3	0	0	0
Met_24	0	0	0
Met_98	0	0	0
Met_84	0	0	0
Met_89	0	0	0
Met_67	0	0	0
Met_26	0	0	0
Met_20	0	0	0
Met_77	0	0	0
Met_18	0	0	0
Met_45	0	0	0
Met_71	0	0	0
Met_57	0	0	0
Met_27	0	0	0
Met_50	0	0	0
Met_65	0	0	0
Met_125	0	0	0
Met_80	0	0	0
Met_59	0	0	0
Met_10	0	0	0
Met_47	0	0	0
Met_90	0	0	0
Met_46	0	0	0
Met_82	0	0	0
Met_62	0	0	0
Met_131	0	0	0
Met_91	0	0	0
Met_56	0	0	0
Met_23	0	0	0
Met_52	0	0	0
Met_7	0	0	0
Met_119	0	0	0
Met_55	0	0	0
Met_14	0	0	0
Met_130	0	0	0
Met_120	0	0	0
Met_34	0	0	0
Met_74	0	0	0
Met_25	0	0	0
Met_29	0	0	0
Met_21	0	0	0
Met_93	0	0	0
Met_38	0	0	0
Met_87	0	0	0
Met_104	0	0	0
Met_15	0	0	0
Met_124	0	0	0
Met_114	0	0	0
Met_40	0	0	0
Met_123	0	0	0
Met_4	0	0	0
Met_64	0	0	0
Met_116	0	0	0
Met_49	0	0	0
Met_61	0	0	0
Met_97	0	0	0
Met_110	0	0	0
Met_63	0	0	0
Met_54	0	0	0
Met_32	0	0	0
Met_53	0	0	0
Met_121	0	0	0
Met_13	0	0	0
Met_2	0	0	0
Met_16	0	0	0
Met_66	0	0	0
Met_115	0	0	0
Met_127	0	0	0
Met_129	0	0	0
Met_102	0	0	0
Met_103	0	0	0
Met_58	0	0	0
Met_44	0	0	0
Met_31	0	0	0
Met_33	0	0	0
Met_69	0	0	0
Met_95	0	0	0
Met_99	0	0	0
Met_108	0	0	0
Met_106	0	0	0
Met_37	0	0	0
Met_128	0	0	0
Met_96	0	0	0
Met_70	0	0	0
Met_105	0	0	0
Met_118	0	0	0
Met_60	0	0	0
Met_17	0	0	0
Met_88	0	0	0
Met_39	0	0	0
Met_101	0	0	0
Met_94	0	0	0
Met_83	0	0	0
Met_122	0	0	0
Met_86	0	0	0
